Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 0.0001
Total Epochs: 40
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.2391, 0.1266, 31.33, 1064.48
2, 0.1261, 0.0810, 31.00, 1064.48
3, 0.0871, 0.0698, 31.44, 1064.48
4, 0.0693, 0.0700, 31.06, 1064.48
5, 0.0564, 0.0589, 31.15, 1064.48
6, 0.0512, 0.0630, 31.03, 1064.48
7, 0.0446, 0.0546, 31.12, 1064.48
8, 0.0437, 0.0467, 30.91, 1064.48
9, 0.0407, 0.0507, 31.01, 1064.48
10, 0.0439, 0.0438, 31.05, 1064.48
11, 0.0394, 0.0537, 30.97, 1064.48
12, 0.0611, 0.0561, 31.07, 1064.48
13, 0.0414, 0.0504, 30.87, 1064.48
14, 0.0345, 0.0448, 31.07, 1064.48
15, 0.0341, 0.0421, 30.97, 1064.48
16, 0.0309, 0.0452, 30.91, 1064.48
17, 0.0299, 0.0510, 31.07, 1064.48
18, 0.0291, 0.0435, 31.08, 1064.48
19, 0.0275, 0.0484, 31.12, 1064.48
20, 0.0285, 0.0440, 31.02, 1064.48

Total Training Time: 667.82s
