Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4410, 0.2948, 31.03, 1062.90
2, 0.2049, 0.1522, 31.30, 1062.90
3, 0.1631, 0.1359, 31.42, 1062.90
4, 0.1427, 0.1217, 31.24, 1062.90
5, 0.1274, 0.1131, 31.27, 1062.90
6, 0.1133, 0.0981, 31.47, 1062.90
7, 0.1045, 0.0928, 31.26, 1062.90
8, 0.0981, 0.0885, 31.29, 1062.90
9, 0.0915, 0.0893, 31.19, 1062.90
10, 0.0855, 0.0800, 31.32, 1062.90
11, 0.0800, 0.0745, 31.32, 1062.90
12, 0.0785, 0.0718, 31.16, 1062.90
13, 0.0720, 0.0688, 31.18, 1062.90
14, 0.0724, 0.0679, 31.09, 1062.90
15, 0.0668, 0.0659, 31.26, 1062.90
16, 0.0648, 0.0672, 31.23, 1062.90
17, 0.0622, 0.0651, 31.10, 1062.90
18, 0.0604, 0.0622, 31.12, 1062.90
19, 0.0571, 0.0597, 31.09, 1062.90
20, 0.0562, 0.0606, 31.33, 1062.90
21, 0.0551, 0.0669, 31.12, 1062.90
22, 0.0536, 0.0573, 31.11, 1062.90
23, 0.0515, 0.0581, 31.10, 1062.90
24, 0.0489, 0.0579, 31.10, 1062.90
25, 0.0478, 0.0545, 31.16, 1062.90
26, 0.0474, 0.0555, 31.26, 1062.90
27, 0.0451, 0.0538, 31.09, 1062.90
28, 0.0441, 0.0544, 31.13, 1062.90
29, 0.0457, 0.0527, 31.35, 1062.90
30, 0.0444, 0.0525, 31.49, 1062.90
31, 0.0426, 0.0525, 31.99, 1062.90
32, 0.0414, 0.0517, 32.09, 1062.90
33, 0.0413, 0.0530, 31.57, 1062.90
34, 0.0399, 0.0509, 31.34, 1062.90
35, 0.0384, 0.0512, 32.28, 1062.90
36, 0.0380, 0.0500, 32.66, 1062.90
37, 0.0368, 0.0497, 31.71, 1062.90
38, 0.0413, 0.0533, 32.45, 1062.90
39, 0.0368, 0.0516, 31.81, 1062.90
40, 0.0356, 0.0505, 32.30, 1062.90
41, 0.0345, 0.0499, 32.01, 1062.90
42, 0.0342, 0.0497, 31.82, 1062.90
43, 0.0333, 0.0489, 31.71, 1062.90
44, 0.0323, 0.0495, 32.17, 1062.90
45, 0.0323, 0.0491, 32.30, 1062.90
46, 0.0315, 0.0487, 31.57, 1062.90
47, 0.0320, 0.0475, 32.08, 1062.90
48, 0.0312, 0.0500, 32.16, 1062.90
49, 0.0325, 0.0549, 31.95, 1062.90
50, 0.0319, 0.0556, 31.88, 1062.90
51, 0.0324, 0.0541, 31.85, 1062.90
52, 0.0300, 0.0502, 32.15, 1062.90

Total Training Time: 1770.70s
