Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4197, 0.2395, 32.19, 1177.69
2, 0.2018, 0.1710, 32.32, 1177.69
3, 0.1709, 0.1450, 32.75, 1177.69
4, 0.1503, 0.1431, 32.30, 1177.69
5, 0.1392, 0.1256, 32.04, 1177.69
6, 0.1249, 0.1144, 32.29, 1177.69
7, 0.1143, 0.1094, 32.02, 1177.69
8, 0.1051, 0.1008, 33.22, 1177.69
9, 0.0986, 0.0926, 32.40, 1177.69
10, 0.0916, 0.0860, 32.52, 1177.69
11, 0.0870, 0.0887, 31.92, 1177.69
12, 0.0912, 0.0838, 32.04, 1177.69
13, 0.0762, 0.0792, 32.04, 1177.69
14, 0.0742, 0.0724, 32.23, 1177.69
15, 0.0704, 0.0756, 31.72, 1177.69
16, 0.0669, 0.0802, 32.74, 1177.69
17, 0.0670, 0.0771, 32.31, 1177.69
18, 0.0642, 0.0874, 32.93, 1177.69
19, 0.0592, 0.0700, 32.60, 1177.69
20, 0.0569, 0.0638, 32.32, 1177.69
21, 0.0546, 0.0671, 32.26, 1177.69
22, 0.0551, 0.0644, 32.13, 1177.69
23, 0.0518, 0.0638, 32.03, 1177.69
24, 0.0495, 0.0626, 32.23, 1177.69
25, 0.0482, 0.0660, 32.31, 1177.69
26, 0.0469, 0.0778, 32.19, 1177.69
27, 0.0458, 0.0607, 32.12, 1177.69
28, 0.0436, 0.0593, 31.96, 1177.69
29, 0.0429, 0.0618, 31.81, 1177.69
30, 0.0422, 0.0623, 31.90, 1177.69
31, 0.0409, 0.0832, 32.15, 1177.69
32, 0.0395, 0.0612, 32.36, 1177.69
33, 0.0390, 0.0613, 32.47, 1177.69

Total Training Time: 1151.14s
