Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 1
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.3501, 0.2078, 31.77, 1177.69
2, 0.1939, 0.1579, 31.73, 1177.69
3, 0.1538, 0.1281, 31.81, 1177.69
4, 0.1399, 0.1144, 31.81, 1177.69
5, 0.1250, 0.1043, 31.61, 1177.69
6, 0.1105, 0.1009, 31.58, 1177.69
7, 0.1026, 0.0894, 31.96, 1177.69
8, 0.0966, 0.0887, 32.18, 1177.69
9, 0.0896, 0.0837, 31.73, 1177.69
10, 0.0847, 0.0784, 31.87, 1177.69
11, 0.0777, 0.0804, 31.98, 1177.69
12, 0.0729, 0.0713, 31.78, 1177.69
13, 0.0693, 0.0788, 32.09, 1177.69
14, 0.0696, 0.0716, 32.84, 1177.69
15, 0.0652, 0.0662, 32.49, 1177.69
16, 0.0594, 0.0634, 32.80, 1177.69
17, 0.0577, 0.0632, 33.06, 1177.69
18, 0.0559, 0.0616, 32.17, 1177.69
19, 0.0539, 0.0590, 31.70, 1177.69
20, 0.0527, 0.0612, 32.35, 1177.69
21, 0.0509, 0.0601, 32.39, 1177.69
22, 0.0566, 0.0642, 32.51, 1177.69
23, 0.0538, 0.0605, 32.48, 1177.69
24, 0.0473, 0.0592, 31.86, 1177.69

Total Training Time: 835.93s
