Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 10
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.6127, 0.6225, 15.46, 1174.61
2, 0.3927, 0.3460, 15.44, 1175.51
3, 0.3004, 0.2794, 15.38, 1175.61
4, 0.2434, 0.2796, 15.33, 1173.23
5, 0.2154, 0.2347, 15.38, 1174.89
6, 0.1868, 0.1942, 15.44, 1174.39
7, 0.1706, 0.1891, 15.32, 1175.41
8, 0.1549, 0.1775, 15.46, 1174.87
9, 0.1467, 0.1641, 15.31, 1174.51
10, 0.1425, 0.1465, 15.35, 1174.61
11, 0.1267, 0.1639, 15.37, 1175.51
12, 0.1199, 0.1474, 15.32, 1175.61
13, 0.1143, 0.1563, 15.34, 1173.23
14, 0.1113, 0.1460, 15.42, 1174.89
15, 0.1169, 0.1393, 15.37, 1174.39
16, 0.1004, 0.1314, 15.46, 1175.41
17, 0.0970, 0.1278, 15.41, 1174.87
18, 0.0907, 0.1236, 15.35, 1174.51
19, 0.0868, 0.1233, 15.31, 1174.61
20, 0.0877, 0.1198, 15.32, 1175.51
21, 0.0821, 0.1182, 15.31, 1175.61
22, 0.0792, 0.1124, 15.40, 1173.23
23, 0.0769, 0.1131, 15.45, 1174.89
24, 0.0740, 0.1098, 15.32, 1174.39
25, 0.0710, 0.1139, 15.31, 1175.41
26, 0.0691, 0.1061, 15.32, 1174.87
27, 0.0684, 0.1122, 15.37, 1174.51
28, 0.0626, 0.1053, 15.45, 1174.61
29, 0.0628, 0.1060, 15.40, 1175.51
30, 0.0598, 0.1057, 15.97, 1175.61
31, 0.0584, 0.1070, 15.71, 1173.23
32, 0.0568, 0.1060, 15.71, 1174.89
33, 0.0553, 0.1041, 15.83, 1174.39
34, 0.0550, 0.1025, 15.68, 1175.41
35, 0.0530, 0.1007, 15.68, 1174.87
36, 0.0536, 0.1076, 15.67, 1174.51
37, 0.0511, 0.1003, 15.63, 1174.61
38, 0.0487, 0.0978, 15.71, 1175.51
39, 0.0481, 0.0996, 15.69, 1175.61
40, 0.0460, 0.0991, 15.67, 1173.23
41, 0.0452, 0.0997, 15.79, 1174.89
42, 0.0453, 0.0993, 15.85, 1174.39
43, 0.0455, 0.0956, 15.42, 1175.41
44, 0.0453, 0.1009, 15.45, 1174.87
45, 0.0435, 0.0975, 15.30, 1174.51
46, 0.0415, 0.1020, 15.28, 1174.61
47, 0.0410, 0.0931, 15.44, 1175.51
48, 0.0401, 0.0999, 16.07, 1175.61
49, 0.0401, 0.0960, 15.83, 1173.23
50, 0.0389, 0.0914, 15.71, 1174.89
51, 0.0373, 0.0964, 15.84, 1174.39
52, 0.0365, 0.0955, 15.69, 1175.41
53, 0.0358, 0.0949, 15.76, 1174.87
54, 0.0355, 0.0982, 15.70, 1174.51
55, 0.0344, 0.0954, 15.70, 1174.61

Total Training Time: 1152.73s
