Training Parameters:
Model Name: MultimodalSegmentationModel
Run Number: 8
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.5828, 0.5656, 7.80, 1173.19
2, 0.4733, 0.4437, 7.84, 1173.92
3, 0.3342, 0.3543, 7.80, 1173.17
4, 0.2451, 0.2967, 7.80, 1173.19
5, 0.1983, 0.2241, 7.80, 1173.92
6, 0.1733, 0.2079, 7.80, 1173.17
7, 0.1622, 0.1995, 7.80, 1173.19
8, 0.1498, 0.1853, 7.81, 1173.92
9, 0.1462, 0.1855, 7.80, 1173.17
10, 0.1368, 0.1855, 7.79, 1173.19
11, 0.1295, 0.1778, 7.75, 1173.92
12, 0.1265, 0.1800, 7.65, 1173.17
13, 0.1189, 0.1750, 7.56, 1173.19
14, 0.1158, 0.1753, 7.57, 1173.92
15, 0.1126, 0.1640, 7.56, 1173.17
16, 0.1072, 0.1661, 7.65, 1173.19
17, 0.1086, 0.1655, 7.56, 1173.92
18, 0.1002, 0.1575, 7.56, 1173.17
19, 0.0986, 0.1590, 7.57, 1173.19
20, 0.0967, 0.1585, 7.56, 1173.92
21, 0.0920, 0.1528, 7.56, 1173.17
22, 0.0900, 0.1492, 7.57, 1173.19
23, 0.0878, 0.1507, 7.57, 1173.92
24, 0.0844, 0.1488, 7.56, 1173.17
25, 0.0842, 0.1497, 7.56, 1173.19
26, 0.0822, 0.1456, 7.56, 1173.92
27, 0.0801, 0.1496, 7.57, 1173.17
28, 0.0793, 0.1482, 7.56, 1173.19
29, 0.0765, 0.1429, 7.56, 1173.92
30, 0.0729, 0.1427, 7.57, 1173.17
31, 0.0714, 0.1440, 7.57, 1173.19
32, 0.0709, 0.1421, 7.57, 1173.92
33, 0.0694, 0.1421, 7.64, 1173.17
34, 0.0679, 0.1461, 7.65, 1173.19
35, 0.0660, 0.1393, 7.56, 1173.92
36, 0.0646, 0.1380, 7.56, 1173.17
37, 0.0642, 0.1370, 7.57, 1173.19
38, 0.0621, 0.1343, 7.59, 1173.92
39, 0.0612, 0.1333, 7.57, 1173.17
40, 0.0590, 0.1352, 7.56, 1173.19
41, 0.0580, 0.1417, 7.56, 1173.92
42, 0.0571, 0.1378, 7.56, 1173.17
43, 0.0553, 0.1351, 7.64, 1173.19
44, 0.0549, 0.1379, 7.56, 1173.92

Total Training Time: 682.63s
