Training Parameters:
Model Name: MultimodalSegmentationModel
Number of Training Images: 300
Batch Size: 3
Learning Rate: 1e-05
Total Epochs: 100
Patience: 5

Epoch Details:
Epoch, Loss, Validation Loss, Time (s), GPU Memory (MB)
1, 0.4165, 0.2072, 32.21, 1064.48
2, 0.1960, 0.1856, 30.88, 1064.48
3, 0.1679, 0.1550, 31.13, 1064.48
4, 0.1476, 0.1362, 31.08, 1064.48
5, 0.1319, 0.1281, 30.86, 1064.48
6, 0.1222, 0.1148, 30.73, 1064.48
7, 0.1103, 0.0999, 30.75, 1064.48
8, 0.1007, 0.0937, 30.81, 1064.48
9, 0.0918, 0.0911, 30.91, 1064.48
10, 0.0859, 0.0824, 30.83, 1064.48
11, 0.0808, 0.0833, 31.01, 1064.48
12, 0.0759, 0.0826, 30.81, 1064.48
13, 0.0722, 0.0767, 30.83, 1064.48
14, 0.0682, 0.0778, 30.72, 1064.48
15, 0.0660, 0.0751, 30.89, 1064.48
16, 0.0641, 0.0694, 30.80, 1064.48
17, 0.0597, 0.0716, 30.79, 1064.48
18, 0.0570, 0.0703, 30.78, 1064.48
19, 0.0564, 0.0752, 30.92, 1064.48
20, 0.0564, 0.0677, 30.93, 1064.48
21, 0.0538, 0.0628, 31.03, 1064.48
22, 0.0498, 0.0639, 31.10, 1064.48
23, 0.0483, 0.0682, 30.82, 1064.48
24, 0.0473, 0.0656, 30.78, 1064.48
25, 0.0455, 0.0649, 30.76, 1064.48
26, 0.0437, 0.0611, 30.89, 1064.48
27, 0.0433, 0.0638, 31.09, 1064.48
28, 0.0421, 0.0618, 30.93, 1064.48
29, 0.0408, 0.0616, 30.88, 1064.48
30, 0.0396, 0.0609, 30.75, 1064.48
31, 0.0389, 0.0587, 30.92, 1064.48
32, 0.0374, 0.0597, 30.18, 1064.48
33, 0.0367, 0.0582, 30.17, 1064.48
34, 0.0366, 0.0596, 30.10, 1064.48
35, 0.0356, 0.0563, 29.95, 1064.48
36, 0.0359, 0.0598, 30.25, 1064.48
37, 0.0347, 0.0562, 30.20, 1064.48
38, 0.0337, 0.0580, 29.98, 1064.48
39, 0.0323, 0.0580, 29.98, 1064.48
40, 0.0327, 0.0591, 29.95, 1064.48
41, 0.0330, 0.0552, 29.96, 1064.48
42, 0.0314, 0.0571, 29.96, 1064.48
43, 0.0306, 0.0590, 30.02, 1064.48
44, 0.0312, 0.0589, 29.96, 1064.48
45, 0.0305, 0.0600, 29.99, 1064.48
46, 0.0294, 0.0596, 30.00, 1064.48

Total Training Time: 1518.05s
